D023,Bangka Belitung,Kekurangan Logistik,Ditemukan kekurangan logistik pada tahapan distribusi.
D024,Bangka Belitung,Pengawasan PSU,Pengawasan pengadaan dan distribusi logistik PSU Tahun 2025.
D025,Bangka Belitung,Evaluasi Logistik,Evaluasi pelaksanaan distribusi logistik Pemilu dan Pilkada.
D026 Bengkulu Pengawasan Logistik Laporan pengawasan logistik pada Pemilu dan Pemilihan Serentak Tahun 2024 Provinsi Bengkulu.,,,
D027 Bengkulu Distribusi Logistik Pengawasan distribusi surat suara dan perlengkapan pemilu di wilayah Provinsi Bengkulu.,,,
D028 Bengkulu Pengadaan Logistik Pengawasan tahapan penyediaan dan pengadaan logistik Pemilu Tahun 2024.,,,
D029 Bengkulu Evaluasi Logistik Evaluasi pelaksanaan pengawasan logistik Pemilu dan Pilkada Tahun 2024.,,,
D030 Bengkulu Administrasi Logistik Pelaporan dan dokumentasi pengawasan logistik Pemilu Tahun 2024.,,,
D031 D.I. Yogyakarta Pengawasan Logistik Laporan pengawasan logistik Pemilu dan Pemilihan Tahun 2024 di D.I. Yogyakarta.,,,
D032 D.I. Yogyakarta Pengadaan Logistik Pengawasan pengadaan logistik Pemilu dan Pemilihan Tahun 2024.,,,
D033 D.I. Yogyakarta Distribusi Logistik Pengawasan distribusi logistik Pemilu untuk memastikan kelancaran tahapan pemilu.,,,
D034 D.I. Yogyakarta Logistik TPS Pengawasan penggunaan perlengkapan TPS pada tahapan pemungutan suara.,,,
D035 D.I. Yogyakarta Evaluasi Logistik Evaluasi sistem logistik Pemilu dan Pemilihan sebagai bahan perbaikan penyelenggaraan.,,,
D036 DKI Jakarta Pengawasan Logistik Laporan pengawasan logistik Pemilu dan Pemilihan Tahun 2024 tingkat Provinsi DKI Jakarta.,,,
D037 DKI Jakarta Distribusi Logistik Pengawasan distribusi logistik Pemilu dan Pemilihan pada wilayah DKI Jakarta.,,,
D038 DKI Jakarta Logistik TPS Pengawasan perlengkapan TPS pada tahapan Pemilu dan Pemilihan Tahun 2024.,,,
D039 DKI Jakarta Evaluasi Logistik Evaluasi pelaksanaan pengawasan logistik Pemilu dan Pemilihan Tahun 2024.,,,
D040 DKI Jakarta Administrasi Logistik Pelaporan dan dokumentasi pengawasan logistik Pemilu dan Pemilihan Tahun 2024.,,,
D041 Gorontalo Pengawasan Logistik Laporan akhir pengawasan logistik Pemilu dan Pemilihan Tahun 2024 di Kota Gorontalo.,,,
D042 Gorontalo Distribusi Logistik Pengawasan distribusi logistik Pemilu dan Pemilihan di wilayah Gorontalo.,,,
D043 Gorontalo Pengadaan Logistik Pengawasan pengadaan logistik Pemilu dan Pemilihan Tahun 2024.,,,
D044 Gorontalo Kekurangan Logistik Temuan kendala dan kekurangan logistik pada tahapan penyelenggaraan Pemilu.,,,
D045 Gorontalo Evaluasi Logistik Evaluasi pelaksanaan pengawasan logistik Pemilu dan Pemilihan Tahun 2024.,,,
Document_ID,Provinsi,Kategori_Isu,Text
D046,Jawa Barat,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan 2024 Kabupaten Garut.
D047,Jawa Barat,Distribusi Logistik,Pengawasan tahapan distribusi logistik Pemilu ke seluruh kecamatan di Kabupaten Garut.
D048,Jawa Barat,Pengadaan Logistik,Pengawasan proses pengadaan dan ketepatan jumlah logistik Pemilu 2024.
D049,Jawa Barat,Logistik TPS,Pengawasan kelengkapan serta pemenuhan perlengkapan pemungutan suara di TPS.
D050,Jawa Barat,Evaluasi Logistik,Evaluasi menyeluruh terhadap hasil pengawasan logistik Pemilu 2024 Kabupaten Garut.
Document_ID,Provinsi,Kategori_Isu,Text
D051,Jawa Tengah,Pengawasan Logistik,Ruang lingkup laporan pengawasan logistik Pemilu 2024 mencakup manajemen risiko dan pemantauan logistik di Kabupaten Rembang.
D052,Jawa Tengah,Evaluasi Logistik,Evaluasi pengawasan logistik terkait pengadaan surat suara DPD dari KPU Provinsi Jawa Tengah untuk PSU di Kabupaten Sukoharjo.
D053,Jawa Tengah,Distribusi Logistik,Pengawasan melekat terhadap kepatuhan prosedur dan ketepatan waktu pendistribusian logistik Pemilu di Kabupaten Kudus.
D054,Jawa Tengah,Logistik TPS,"Pengawasan ketersediaan perlengkapan pemungutan suara, dukungan perlengkapan lainnya, serta perlengkapan pemungutan suara di TPS."
D055,Jawa Tengah,Instruksi Logistik,Pelaksanaan instruksi Bawaslu Provinsi Jawa Tengah terkait pengawasan ketat pengadaan dan distribusi logistik Pemilu 2024.
Document_ID,Provinsi,Kategori_Isu,Text
D056,Kalimantan Barat,Pengawasan Logistik,Laporan akhir pengawasan logistik Pemilu dan Pemilihan Tahun 2024 di Provinsi Kalimantan Barat.
D057,Kalimantan Barat,Distribusi Logistik,Pengawasan distribusi logistik Pemilu dan Pemilihan pada wilayah Kalimantan Barat.
D058,Kalimantan Barat,Logistik TPS,Pengawasan perlengkapan TPS pada tahapan Pemilu dan Pemilihan Tahun 2024.
D059,Kalimantan Barat,Evaluasi Logistik,Evaluasi pelaksanaan pengawasan logistik Pemilu dan Pemilihan Tahun 2024.
D060,Kalimantan Barat,Administrasi Logistik,Pelaporan dan dokumentasi pengawasan logistik Pemilu dan Pemilihan Tahun 2024.
,,,
D061,Kalimantan Selatan,Pengawasan Logistik,Laporan akhir pengawasan logistik Pemilu dan Pemilihan Tahun 2024 di Provinsi Kalimantan Selatan.
D062,Kalimantan Selatan,Distribusi Logistik,Pengawasan distribusi logistik Pemilu dan Pemilihan di wilayah Kalimantan Selatan.
D063,Kalimantan Selatan,Pengadaan Logistik,Pengawasan pengadaan logistik Pemilu dan Pemilihan Tahun 2024.
D064,Kalimantan Selatan,Kekurangan Logistik,Temuan kendala dan kekurangan logistik pada tahapan penyelenggaraan Pemilu.
D065,Kalimantan Selatan,Evaluasi Logistik,Evaluasi pelaksanaan pengawasan logistik Pemilu dan Pemilihan Tahun 2024.
,,,
D066,Kalimantan Tengah,Pengawasan Logistik,Laporan akhir pengawasan logistik Pemilu dan Pemilihan Tahun 2024 di Provinsi Kalimantan Tengah.
D067,Kalimantan Tengah,Distribusi Logistik,Pengawasan distribusi logistik Pemilu dan Pemilihan di wilayah Kalimantan Tengah.
D068,Kalimantan Tengah,Pengadaan Logistik,Pengawasan pengadaan logistik Pemilu dan Pemilihan Tahun 2024.
D069,Kalimantan Tengah,Logistik PSU,Pengawasan logistik pada pelaksanaan Pemungutan Suara Ulang (PSU).
D070,Kalimantan Tengah,Evaluasi Logistik,Evaluasi pelaksanaan pengawasan logistik Pemilu dan Pemilihan Tahun 2024.
,,,
D071,Kalimantan Utara,Pengawasan Logistik,Laporan akhir pengawasan logistik Pemilu dan Pemilihan Tahun 2024 di Provinsi Kalimantan Utara.
D072,Kalimantan Utara,Distribusi Logistik,Pengawasan distribusi logistik Pemilu dan Pemilihan di wilayah Kalimantan Utara.
D073,Kalimantan Utara,Pengadaan Logistik,Pengawasan pengadaan logistik Pemilu dan Pemilihan Tahun 2024.
D074,Kalimantan Utara,Administrasi Logistik,Pelaporan dan dokumentasi pengawasan logistik Pemilu dan Pemilihan Tahun 2024.
D075,Kalimantan Utara,Evaluasi Logistik,Evaluasi pelaksanaan pengawasan logistik Pemilu dan Pemilihan Tahun 2024.
Document_ID,Provinsi,Kategori_Isu,Text
D076,Kepulauan Riau,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Tahun 2024 di Provinsi Kepulauan Riau.
D077,Lampung,Logistik PSU,Pengawasan logistik dalam Pemungutan Suara Ulang (PSU) Kabupaten Pesawaran Tahun 2024.
D078,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Tulang Bawang Barat Tahun 2024.
D079,Lampung,Pengawasan Logistik,Laporan pelaksanaan pengawasan tahapan logistik Kabupaten Tulang Bawang Tahun 2024.
D080,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Lampung Timur Tahun 2024.
D081,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Way Kanan Tahun 2024.
D082,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Mesuji Tahun 2024.
D083,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Lampung Barat Tahun 2024.
D084,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Lampung Selatan Tahun 2024.
D085,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Provinsi Lampung Tahun 2024.
D086,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Lampung Utara Tahun 2024.
D087,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Pesisir Barat Tahun 2024.
D088,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kota Metro Tahun 2024.
D089,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Lampung Tengah Tahun 2024.
D090,Lampung,Pengadaan Logistik,Laporan pengawasan pengadaan dan pendistribusian logistik PSU Pemilihan Tahun 2024.
D091,Lampung,Logistik PSU,Laporan logistik PSU Pemilihan Tahun 2024 Kabupaten Pesawaran.
D092,Lampung,Pengawasan Logistik,Laporan akhir pengawasan logistik Pemilu dan Pemilihan Kabupaten Pesawaran Tahun 2024.
D093,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Pringsewu Tahun 2024.
D094,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Tanggamus Tahun 2024.
D095,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kota Bandar Lampung Tahun 2024.
D096,Maluku Utara,Pengawasan Logistik,Laporan pengawasan logistik Pemilihan Tahun 2024 Provinsi Maluku Utara.
D097,Maluku,Logistik PSU,Laporan pengawasan logistik Pemungutan Suara Ulang (PSU) Kabupaten Buru Tahun 2024.
D098,NTB,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Provinsi Nusa Tenggara Barat Tahun 2024.
D099,NTT,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Provinsi Nusa Tenggara Timur Tahun 2024.
D100,Papua Barat,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Provinsi Papua Barat Tahun 2024.
D101,Papua Barat,Pengawasan Logistik,Laporan pengawasan logistik Pemilihan Serentak Kabupaten Teluk Wondama Tahun 2024.
D102,Papua Barat,Pengawasan Logistik,Laporan akhir pengawasan logistik Pemilu dan Pemilihan Kabupaten Manokwari Selatan Tahun 2024.
D103,Papua Barat,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Fakfak Tahun 2024.
Document_ID,Provinsi,Kategori_Isu,Text
D104,Riau,Logistik PSU,Laporan pengawasan logistik pada Pemungutan Suara Ulang (PSU) Tahun 2024 di Provinsi Riau.
D105,Sulawesi Selatan,Pengawasan Logistik,Laporan pengawasan logistik pada Pemilihan Tahun 2024 di Provinsi Sulawesi Selatan.
D106,Sulawesi Selatan,Pengawasan Logistik,Laporan pengawasan logistik Pemilihan Tahun 2024 Kabupaten Sidenreng Rappang (Sidrap).
D107,Sulawesi Selatan,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Tahun 2024.
D108,Sulawesi Selatan,Pengawasan Logistik,Laporan pengawasan logistik pada tahapan Pemilihan Tahun 2024.
D109,Sulawesi Selatan,Pengawasan Logistik,Laporan pengawasan logistik Pemilihan Tahun 2024 Kabupaten Jeneponto.
D110,Sulawesi Selatan,Distribusi Logistik,Pengawasan distribusi dan pengelolaan logistik Pemilihan Tahun 2024 Kota Makassar.
D111,Sulawesi Selatan,Logistik TPS,Pengawasan kesiapan logistik dan perlengkapan TPS pada Pemilihan Tahun 2024 Kabupaten Toraja Utara.
D112,Sulawesi Tengah,Logistik PSU,Pengawasan distribusi dan kesiapan logistik pada Pemungutan Suara Ulang (PSU).
D113,Sulawesi Tengah,Distribusi Logistik,"Monitoring pengiriman kotak suara, surat suara, dan perlengkapan pemungutan suara untuk PSU."
D114,Sulawesi Tenggara,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Serentak Tahun 2024 di Provinsi Sulawesi Tenggara.
D115,Sulawesi Tenggara,Distribusi Logistik,"Pengawasan pemenuhan, penyimpanan, dan distribusi logistik Pemilu dan Pemilihan Tahun 2024."
D116,Sulawesi Tenggara,Evaluasi Logistik,Evaluasi pelaksanaan pengawasan logistik Pemilu dan Pemilihan Serentak Tahun 2024.
D117,Sumatera Barat,Logistik PSU,Laporan pengawasan logistik Pemungutan Suara Ulang (PSU) pasca putusan Mahkamah Konstitusi.
D118,Sumatera Barat,Distribusi Logistik PSU,Pengawasan distribusi logistik dan perlengkapan pemungutan suara untuk PSU Kabupaten Pasaman.
D119,Sumatera Barat,Evaluasi PSU,Evaluasi pelaksanaan pengawasan tahapan PSU dan kesiapan logistik pemilu.
D120,Sumatera Utara,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Tahun 2024 Provinsi Sumatera Utara.
D121,Sumatera Utara,Distribusi Logistik,Pengawasan distribusi logistik Pemilu dan Pemilihan sampai tingkat TPS.
D122,Sumatera Utara,Kerusakan Logistik,"Pengawasan surat suara rusak, kekurangan logistik, dan proses sortir logistik pemilu."
D123,Sumatera Utara,Evaluasi Logistik,Evaluasi pelaksanaan pengawasan logistik Pemilu dan Pemilihan Tahun 2024.
